Group,Response
Model,13.79
Model,13.02
Model,11.63
Control,2.50
Control,3.24
Control,1.54
A,14.54
A,13.36
A,11.73
B,10.82
B,11.77
B,10.54
C,12.77
C,11.38
C,11.12
D,7.30
D,7.58
D,8.05
E,10.99
E,10.20
E,9.24
